item_id,begin,end,width,type
0,0,1,1,3
1,0,1,1,3
2,0,1,3,2
3,0,1,3,2
4,0,3,1,2
5,1,2,1,1
6,1,2,5,1
7,1,5,4,3
8,1,15,1,2
9,2,4,4,1
10,2,5,2,1
11,2,6,1,2
12,3,5,5,0
13,3,11,2,3
14,5,13,1,0
15,5,14,4,0
16,6,10,1,3
17,6,19,5,0
18,7,8,5,1
19,7,12,1,1
20,9,10,1,1
21,9,19,3,3
22,9,27,1,3
23,11,19,2,2
24,12,13,2,0
25,13,25,1,3
26,14,16,2,2
27,14,21,1,0
28,15,16,2,0
29,15,16,2,1
30,17,18,1,0
31,17,19,4,2
32,19,21,1,1
33,20,21,1,2
34,20,21,1,2
35,20,22,1,3
36,20,31,4,1
37,20,32,4,3
38,21,22,1,0
39,21,34,2,3
40,22,23,4,1
41,23,31,4,2
42,24,25,4,3
43,26,29,5,2
44,29,45,1,1
45,30,37,2,2
46,31,32,3,1
47,32,33,1,2
48,32,33,1,2
49,32,33,1,3
50,32,33,2,1
51,32,33,3,0
52,33,34,1,3
53,33,34,5,2
54,34,35,1,0
55,34,35,1,2
56,34,35,2,1
57,34,36,1,3
58,35,45,3,2
59,36,37,5,1
60,36,47,4,0
61,37,46,1,0
62,38,40,3,0
63,39,41,1,1
64,39,42,3,0
65,41,44,2,3
66,41,48,4,2
67,42,46,1,3
68,43,47,2,1
69,43,56,1,3
70,44,55,1,3
71,46,48,4,2
72,46,57,2,0
73,47,48,1,2
74,48,50,2,3
75,48,50,3,3
76,49,51,1,3
77,49,53,1,3
78,50,53,3,0
79,50,54,5,2
80,51,52,1,0
81,51,55,2,2
82,51,55,2,2
83,53,72,2,0
84,54,62,2,0
85,55,57,2,3
86,55,63,2,2
87,56,61,2,2
88,56,69,4,3
89,57,58,1,2
90,57,68,1,3
91,58,59,2,3
92,59,65,5,0
93,61,68,1,1
94,62,63,1,2
95,62,68,1,1
96,64,65,5,1
97,66,67,1,1
98,66,67,1,3
99,66,67,3,1
100,66,68,1,1
101,67,68,1,2
102,67,68,3,2
103,68,71,4,1
104,68,72,1,3
105,69,70,4,2
106,69,73,5,3
107,70,77,1,1
108,71,72,4,3
109,71,74,2,1
110,71,75,1,2
111,73,75,2,1
112,73,78,5,3
113,73,81,4,1
114,74,75,1,0
115,74,75,1,1
116,74,75,1,1
117,74,75,2,0
118,76,83,3,2
119,76,84,4,3
120,76,85,3,0
121,78,84,1,1
122,79,80,3,0
123,79,82,2,1
124,81,82,1,2
125,82,83,4,0
126,82,85,1,2
127,82,87,1,2
128,83,84,1,0
129,83,86,1,2
130,83,87,1,1
131,84,85,1,1
132,84,85,2,1
133,84,86,1,1
134,84,86,3,3
135,85,90,1,2
136,86,87,1,0
137,86,87,4,3
138,86,89,1,2
139,86,90,1,3
140,86,91,1,0
141,87,88,2,2
142,87,88,3,3
143,88,89,3,1
144,88,92,4,1
145,90,91,5,2
146,90,92,3,0
147,90,97,1,2
148,91,92,5,1
149,91,107,1,1
150,92,94,3,3
151,92,95,3,1
152,93,94,4,1
153,93,95,1,1
154,93,95,5,1
155,93,97,1,1
156,94,99,1,0
157,95,96,2,3
158,95,102,3,1
159,96,97,1,0
160,96,97,5,1
161,96,98,2,0
162,96,103,3,1
163,97,104,2,0
164,98,99,2,0
165,98,99,2,3
166,99,102,4,1
167,99,107,1,3
168,100,101,2,0
169,100,112,1,1
170,100,119,3,1
171,102,103,1,2
172,102,105,1,2
173,103,104,1,2
174,103,104,4,0
175,104,109,2,3
176,104,115,4,0
177,105,106,1,3
178,105,107,1,1
179,105,111,5,1
180,106,110,1,2
181,108,109,3,0
182,110,123,5,2
183,111,114,1,0
184,112,113,5,0
185,114,128,5,2
186,115,117,1,2
187,117,119,2,1
188,117,120,2,0
189,118,120,1,0
190,120,122,5,3
191,121,122,1,3
192,121,123,1,2
